Resumen generado por la IA,AI keywords,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Nombre
III Muestra Cine Poético,Artistas,,https://app.datarte.art/convocatorias/maldito-festival-de-videopoesia-315,,,"August 21, 2024",Yes,,,,III MUESTRA INTERNACIONAL DE CINE POÉTICO
La Gascona,Artistas,,https://app.datarte.art/convocatorias/la-gascona-305,,,"July 30, 2024",Yes,,,,La Gascona. Reserva abierta
VIII CONCURSO INTERNACIONAL DE VIDEOPOESÍA,,,https://app.datarte.art/convocatorias/maldito-festival-de-videopoesia-296,,,,No,,,,VIII CONCURSO INTERNACIONAL DE VIDEOPOESÍA
Residencia Bogotá 2024,Artistas,,https://app.datarte.art/convocatorias/residencia-creativa-bogota-2024,,,"June 30, 2024",Yes,,,,"Residencia en Bogotá, Colombia"
Residencia Argentina 2024,,,https://app.datarte.art/convocatorias/residencia-argentina-2024,,,,No,,,,Residencia en Argentina
JTHAR,Oportunidad para artistas,,https://app.datarte.art/convocatorias/residencia-jthar,,,"July 30, 2024",Yes,,,,Residencia JTHAR
Exposición Madrid 2025,Artistas,,https://app.datarte.art/convocatorias/exposicion-madrid-2025,,,"September 10, 2024",Yes,,,,"Exposición en Madrid, España"
Umbral Galería 2024,Artistas,,https://app.datarte.art/convocatorias/umbralgaleria2024,,,"June 15, 2024",Yes,,,,Buscamos nuevos artistas
,,,https://open.spotify.com/playlist/5rdXnQLOpZD9G1ug2PHHju?si=oLfPe0RqRaS65CGFLweoSg&pi=e-CU5kijyqSFa0,,,,No,,,,"Se organiza, artista!"
,,,https://gulbenkian.pt/apoios-lista/,,,,No,,,,Apoios Arquivo – Fundação Calouste Gulbenkian
,,,https://gulbenkian.pt/apoios-lista/apoio-a-circulacao-internacional/,,,,No,,,,Apoio à Internacionalização
,,,https://gulbenkian.pt/bolsas-lista/,,,,No,,,,Bolsas Arquivo – Fundação Calouste Gulbenkian
,,,https://www.dgartes.gov.pt/pt/ebalcao/112,,,,No,,,,Procuro Apoio | DGARTES
,,,https://aima.gov.pt/pt/noticias/dgartes-e-aima-assinam-acordo-de-parceria-do-programa-de-apoio-arte-e-periferias-urbanas,,,,No,,,,DGARTES e AIMA assinam acordo de parceria do programa de apoio Arte e Periferias Urbanas - Notícias - AIMA
,,,https://www.dgartes.gov.pt/pt/apoio/7176,,,,No,,,,Programa de Apoio em Parceria - Arte e Periferias Urbanas | DGARTES
,,,https://europacriativa.eu/noticias/detalhe/1651-culture-moves-europe-call-aberta-para-a-linha-de-accao-mobilidade-individual?fbclid=PAZXh0bgNhZW0CMTEAAaZndP8g2sRIpbpVp5P1KMF1DIA913vi_SXMbV772w7ITShTnVk6obKfgz8_aem_AXYzqT8ihX2cjR_iBw82qt-fNq7rh5fqHsLwE67aP32hQLX5BwBVrZfr8pNQD98LYg0k3Fk_YuJDR2-wwICDlUHZ,,,,No,,,,Culture Moves Europe: call aberta para a linha de acção Mobilidade Individual
,,,https://www.dgartes.gov.pt/pt/noticia/7279,,,,No,,,,RTCP e COFAE promovem intercâmbio das artes performativas entre Portugal e Espanha | DGARTES
,,,https://www.dgartes.gov.pt/pt/noticia/7275,,,,No,,,,COMUNICADO: APOIO SUSTENTADO 2025-2026 | DGARTES
,,,https://www.dgartes.gov.pt/pt/newsletter,,,,No,,,,www.dgartes.gov.pt
,,,https://www.coffeepaste.com/,,,,No,,,,Coffeepaste - Tudo sobre a comunidade das Artes
,,,https://open.substack.com/pub/labcandidaturas/p/newsletter-lab-75b?r=avwql&utm_campaign=post&utm_medium=email,,,,No,,,,newsletter Lab. 
,,,https://www.emerge-ac.pt/wp-content/uploads/2024/02/Regulamento_PEA2024.pdf,,,,No,,,,www.emerge-ac.pt
,,,https://www.europacriativa.eu/noticias/detalhe/1903-segunda-call-livemx-para-apoiar-o-sector-da-musica-aberta-ate-24-de-junho,,,,No,,,,Segunda call LIVEMX para apoiar o Sector da Música aberta até 24 de Junho
Incub 2024,Artificial Intelligence,,https://encc.eu/articles/incubator-2024,,,"June 23, 2024",Yes,,,,Incubator 2024
,,,https://www.fundacaogda.pt/formularios/consultas-de-aconselhamento-fundos-europeus/,,,,No,,,,Consultas de Aconselhamento Fundos Europeus - Fundação GDA
BRDE/FSA - COPROD BR-PT 2024,,,https://www.brde.com.br/chamada-publica-brde-fsa-coproducao-brasil-portugal-2024/,,,,No,,,,Chamada Pública BRDE/FSA – COPRODUÇÃO BRASIL-PORTUGAL - 2024 - BRDE Banco Regional de Desenvolvimento do Extremo Sul
CHAMADA PÚBLICA BRDE/FSA - COPRODUÇÃO BRASIL – PORTUGAL 2024,,,https://www.instagram.com/p/C7FgVU-rDbS/?img_index=1,,,,No,,,,"ANCINE - Agência Nacional do Cinema on Instagram: ""O Ministério da Cultura - MinC e a Agência Nacional do Cinema - ANCINE anunciam o lançamento da CHAMADA PÚBLICA BRDE/FSA - COPRODUÇÃO BRASIL – PORTUGAL 2024.
 
A Chamada seleciona projetos de filmes de produção independente dos tipos ficção, documentário e animação, realizados em regime de coprodução internacional com Portugal, no qual produtoras brasileiras independentes participem na qualidade de coprodutoras minoritárias. 
As inscrições ficam abertas de 16 de maio a 25 de julho.
 
O Edital e seus anexos podem ser acessados no endereço eletrônico www.brde.com.br/fsa."""
,,,https://filmaporto.pt/content/uploads/2024/05/2.-Regulamento-2.0.pdf,,,,No,,,,filmaporto.pt
Dispositif - Rappeuses en Liberté 4ª ed.,,,https://rappeusesenliberte.com/sheraps/portugal/dispositif/,,,,No,,,,Dispositif – Portugal - Rappeuses en Liberté 4ème édition
,,,https://www.artistsinrise.com/,,,,No,,,,Artists in Rise
LEME 2024 - NAVEGAR,,,https://lemefestival.pt/navegar-2024/,,,,No,,,,LEME 2024 – Candidaturas abertas para a secção NAVEGAR – LEME
,,,https://m.porto.ucp.pt/sites/default/files/files/FEP/CEDH/Projetos/Protocolo-de-atuacao-para-prevencao-intervencao-em-casos-de-sexismo-e-violencia-sexual-em-ambientes-de-lazer-noturno.pdf,,,,No,,,,m.porto.ucp.pt
,,,https://seorganizaartista.substack.com/,,,,No,,,,"Se organiza, artista! | Chaiana Furtado | Substack"
,,,https://www.europeanfilmacademy.org/industry/enter_your_film/,,,,No,,,,Enter your film - European Film Academy
,,,https://www.restarteurope.org/,,,,No,,,,Are you a Mentor? The Mentor Capacity Building Program and Handbook is for you !
OPEN CALL Passa cá em casa,,,https://www.culturgest.pt/pt/programacao/open-call-passa-ca-em-casa-2024/,,,,No,,,,OPEN CALL PROJETOS ARTÍSTICOS | Culturgest
,,,https://arterialab.uevora.pt/wp-content/uploads/2023/07/Guia_Financiamento_Cultural_Criativo.pdf,,,,No,,,,arterialab.uevora.pt
,,,https://www.culturacentro.gov.pt/pt/noticias-e-eventos/novo-programa-de-apoio-aos-agentes-culturais-da-regiao-centro-com-candidaturas-abertas/,,,,No,,,,Novo programa de apoio aos agentes culturais da região Centro com candidaturas abertas
,,,https://drive.google.com/file/d/1rsYPTTXujoWV7JB16wlN5GZl0zhhTrss/view,,,,No,,,,RedeMore_open call #strictlyworkinprogress_EN+PT.pdf
,,,https://www.instavel.pt/icodaco/,,,,No,,,,iCoDaCo
,,,https://drive.google.com/file/d/1iAUGl_wo1pOl5HyCqdfgjBBNeGE_Mowi/view,,,,No,,,,REGULAMENTO 2024_ REGULATION_BOLSAS NO TEATRO DA VOZ.pdf
,,,https://www.facebook.com/profile.php?id=61560170404357,,,,No,,,,"Se organiza, artista"
CIRCLE Women Doc Accel.,Artistas,,https://www.doccircle.me/,,,"June 21, 2024",Yes,,,,CIRCLE Women Doc Accelerator | Training Initiative
,,,https://claraboiasintra.com/clarao/,,,,No,,,,Clarão
Candidaturas DGARTES,,,https://www.dgartes.gov.pt/pt/vnode/1,,,,No,,,,Candidaturas Abertas | DGARTES
,,,https://www.dgartes.gov.pt/pt/noticia/7332,,,,No,,,,DGARTES abre Apoio Sustentado Bienal com mais 15 milhões que no ciclo anterior | DGARTES
,,,https://outdoorarts.pt/post/showcase-2024-candidaturas-abertas-para-edicao-presencial/,,,,No,,,,Showcase 2024 - Candidaturas abertas para edição presencial | Outdoor Arts Portugal
,,,https://www.cm-gois.pt/viver/cultura/agenda-proximos-eventos/evento/gois-oroso-arte-2024?fbclid=IwZXh0bgNhZW0CMTAAAR1GtLV6gWwWiQZOEY6LOdusCVL3MV5ktPTMAqqgBwu9AWhBQ7DLZjJdLD8_aem_AZ3Y_Dscd_5MWUZwpw8RHtmIZes_MxjeJLv3FCP-KS0gIx4FVFGpauu-_yRV3MU6i4aKuEdj5OafsO44uGIdaaO7,,,,No,,,,Góis Oroso Arte 2024
"Bolsa ""Agora o Folk!"" - PédeXumbo",,,http://pedexumbo.com/open-call-bolsa-agora-o-folk/,,,,No,,,,OPEN CALL Bolsa «Agora o Folk!» – PédeXumbo
Fuso Insular Laboratorio,Fuso Insular Laboratorio,,https://fusovideoarte.com/fuso-insular/laboratorio/,,,"June 20, 2024",Yes,,,,Fuso
,,,https://cloud.cm-sintra.pt/s/dng9LcyQCwfdTKJ,,,,No,,,,Regulamento Premio MJFontainhas.pdf
,"Artistas, Oportunidad para artistas, Programa de residencia",,https://www.creative-europe-media.eu/training-guide/,,Destacar,,No,,,,Creative Europe MEDIA
,,,https://premiosmaisanorte.pt/,,,,No,,,,Prémios Mais a Norte
Criar,,,https://www.culturaportugal.gov.pt/pt/criar/,,,,No,,,,Criar
,"Artificial Intelligence, innovación",,https://culture.ec.europa.eu/,,Destacar,,No,,,,Home - Culture and Creativity
,,,"https://passaportelisboa.com/regulation/#:~:text=A%209%C2%AA%20Edi%C3%A7%C3%A3o%20do%20Passaporte,conhecer%20casting%20directors%2C%20reconhecidos%20internacionalmente.",,,,No,,,,Regulamento – Passaporte
,,,https://docs.google.com/forms/d/e/1FAIpQLSd7aMRyUz71ZoH9V8m39yty_ePx0O_Rx8xYjuJ-69aF98AadA/viewform?fbclid=IwZXh0bgNhZW0CMTAAAR1xXyM5zBK9_BDZegToKm_0Nz16smb-gBWCA8f2dl5_tZhC0VhzkTapeW0_aem_AXqBFi6UuPdzHSR3Z6l2AMZwR6eon7Y-5sjvBhBeCvl6Hk5Qvr1AKfYRWuL9olgRopksDCbO_uGhOb9NIy2ZLiaC,,,,No,,,,Google Forms: Sign-in
3ª Resid. Int. Creadoras Teatro,Dramaturgos,,https://www.tndm.pt/pt/atividades/3-residencia-internacional-para-criadoras-es-de-teatro/?utm_source=facebook&utm_medium=facebook-3-residencia-internacional-para-criadoras-es-de-teatro&utm_campaign=facebook-3-residencia-internacional-para-criadoras-es-de-teatro&utm_content=facebook-3-residencia-internacional-para-criadoras-es-de-teatro,,,"June 17, 2024",Yes,,,,www.tndm.pt
,,,https://drive.google.com/file/d/1FcmKDZi8jBe3v1P0h1m2wndvWix0hmRf/view,,,,No,,,,Regulamento_Y EMERGENTES OPEN CALL 2024.pdf
PASS | La Toscanini,Compositores,,https://www.fondazionetoscanini.it/it/pass_international-open-call-for-composers/,,,"June 20, 2024",Yes,,,,PASS | International Open Call for Composers | La Toscanini
,,,https://arquipelagocentrodeartes.azores.gov.pt/en/programacao/curso-de-verao-do-arquipelago/,,,,No,,,,Curso de Verão do Arquipélago – Arquipélago – Centro de Artes Contemporâneas    
Museo Coruche,Museu de Coruche,,https://www.museu-coruche.org/articles/43,,,"June 23, 2024",Yes,,,,Museu de Coruche
STARTS4WaterII - S+T+ARTS,"Artistas, Oportunidad para artistas, Residencia para artistas",,https://starts.eu/starts4waterii-residencies-call-for-artists/,,,"June 26, 2024",Yes,,,,STARTS4WaterII – Open Call for Artists – S+T+ARTS
,,,https://laar.cm-lisboa.pt/LAAR/ArtisticResidenceDetail.aspx?ArtisticResidenceId=58,,,,No,,,,"
	LAAR
"
Premio Lit. Infantojuvenil Manuel Lopes,Prêmio Literário Infantojuvenil Manuel Lopes,,https://imprensanacional.pt/abertas-candidaturas-ao-premio-literario-infantojuvenil-manuel-lopes/,,,"June 30, 2024",Yes,,,,Abertas candidaturas ao Prémio Literário Infantojuvenil Manuel Lopes - Imprensa Nacional
Premio José Luís Peixoto,Premio Literario,,https://www.culturaportugal.gov.pt/pt/criar/apoios/diversos-2024/premio-literario-jose-luis-peixoto/,,,"June 30, 2024",Yes,,,,Prémio Literário José Luís Peixoto 
Premio Fundaciones,Premio Internacional,,https://cpf.org.pt/fundacoes/premio-fundacoes/,,,"July 15, 2024",Yes,,,,Prémio Fundações
Pasantías Argentina Performance Art,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-ABIERTA-PROGRAMA-DE-PASANTIAS-EN-ARGENTINA-PERFORMANCE-ART,,,,No,,,,CONVOCATORIA ABIERTA PROGRAMA DE PASANTIAS EN ARGENTINA PERFORMANCE ART
Residencia Casa Alberto Heredia,Residencia para artistas,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-PARA-RESIDENCIA-DE-ARTISTAS-EN-CASA-ALBERTO-HEREDIA,,,,No,,,,CONVOCATORIA PARA RESIDENCIA DE ARTISTAS EN CASA ALBERTO HEREDIA
Convocatoria Fundación AMA,Artistas,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-ABIERTA-DE-BECAS-DE-LA-FUNDACION-AMA-AMOEDO,,,"July 30, 2024",Yes,,,,CONVOCATORIA ABIERTA DE BECAS DE LA FUNDACION AMA AMOEDO
13a BIENAL MEDIACITY DE SEUL,"Artistas, Bienal Mediacity Seúl, Convocatoria",,https://es.artealdia.com/Convocatorias/LA-13a-BIENAL-MEDIACITY-DE-SEUL-ABRE-CONVOCATORIA-PARA-DIRECTOR-ARTISTICO,,,"July 28, 2024",Yes,,,,LA 13A BIENAL MEDIACITY DE SEUL ABRE CONVOCATORIA PARA DIRECTOR ARTISTICO
Convocatoria de Artistas 2025,"Academia de Estudios Coreanos, Alemania, Argentina, Artificial Intelligence, Artistas, Becar Cultura, Becas Académicas de Posgrado de OEA, Becas De Doctorado del Gobierno de Italia, Becas De Grado, Becas Posdoctorales, Becas Saint-Exupéry, Becas Técnicas, Becas UNESCO, Becas Unilaterales, Becas de Integración Regional, Becas de Intercambio, Becas de Maestría, Becas de Movilidad, Becas de OEA, Becas de conciertos, Becas de doctorado, Becas de doctorado en la Universidad de Lingnan en Hong Kong, Becas de doctorados, Becas de estudio, Becas de idioma del Gobierno de Rusia, Becas de investigación, Becas de investigación doctoral, Becas de investigación en Reino Unido, Becas de la Iniciativa Jóvenes Líderes de las Américas en Estados Unidos, Becas de la Universidad Hangyang en Corea del Sur, Becas de la Universidad de Curtin en Australia, Becas de la Universidad de Nottingham, Becas de la University College Cork en Irlanda, Becas de posgrado, Becas del Gobierno de Italia, Becas del Ministerio de Ciencia e Innovación de España, Becas del Programa Fondo Oportunidades, Becas del Programa Internacional de Líderes Visitantes en Estados Unidos, Becas del Smart Loire Valley Programme en Francia, Becas doctorales, Becas en Australia, Becas en China, Becas en España, Becas en Estados Unidos, Becas en Francia, Becas en Malasia, Becas en la Akademie Schloss Solitude, Becas en la Unión Europea, Becas externas, Becas para artistas, Becas para artistas visuales, Becas para diplomados, Becas para estudios de grado, Becas para investigadores, Becas para maestrías, Becas para posgrado, Becas posdoctorales Marie Skłodowska-Curie en la Unión Europea, Bienal Mediacity Seúl, CONICET, Canadá, Chandigarh University, Chile, China, China Scholarship Council, Comisión Fulbright, Comisión Fulbright-CONICET, Compositores, Convocatoria, Cooperación Sur-Sur, Corea del Sur, Curaduría, Dramaturgos, EducationUSA, Escuela de Estudios Avanzados en Ciencias Sociales en Francia, España, Estados Unidos, Estados Unidos de América, Estancias cortas posdoctorales, Estudiantes de música, Fondos de investigación en Reino Unido, Formación en Artes, Fundación Carolina, Fundación Cisneros, Fundación Getty, Fundación Pollock-Krasner, Fundación Santander, Giras musicales, Global Challenges, Gobierno de Italia, Gobierno de Nueva Zelanda, Gobierno de Qatar, Gobierno de Suiza, Grado, Historia del Arte, Hong Kong, Imprensa Nacional, India, Iniciativa Jóvenes Líderes de las Américas, Internacional, International Baccalaureate Diploma, Investigación, Investigación Rutas de la Seda, Irish Research Council, Irlanda, Italia, Japón, Kenkyuryugaku, Marie Curie, Marie Skłodowska-Curie, Ministerio de Capital Humano, Museo MoMA, Naciones Unidas, OEA, Oportunidad para artistas, Posgrado, Premio Internacional, Premio Internacional AI, Profesorado Argentino, Programa Escala Estudiantil, Programa Regular de OEA, Programa de Cooperación Técnica, Programa de becas, Programa de residencia, Proyectos de colaboración internacional, Proyectos internacionales, Prêmio Literário Infantojuvenil Manuel Lopes, R.A.R.O, Residencia de Artistas, Residencia de bailarines, Residencia para artistas, Residencias ACE, Residencias Artísticas, Revista Magenta, SFER IK Museion, Senshugakko, Sharda University, Suiza, Talleres para artistas, The British Academy, Universidad Hangyang, Universidad Howard, Universidad Nacional Autónoma de México, Universidad de Calabria, Universidad de Deakin, Universidad de Friburgo, Universidad de Lingnan, Universidad de Lingnan en Hong Kong, Universidad de Macau, Universidad de Ottawa, Universidad de Thammasat, Universidad de Tongji en Shanghái, University College Cork, Università degli Studi di Salerno, Unión Europea, innovación, investigadores, maestría y doctorado del Gobierno de Rumania, maestría y doctorado del Gobierno de Turquía, maestría y doctorado en la Universidad de Macau en Hong Kong",,https://es.artealdia.com/Convocatorias/CONVOCATORIA-ABIERTA-PARA-EL-PROGRAMA-DE-RESIDENCIA-DE-ARTISTAS-2025,,,"June 30, 2024",Yes,,,,CONVOCATORIA ABIERTA PARA EL PROGRAMA DE RESIDENCIA DE ARTISTAS 2025
Convocatoria Ciencia Tecnología y Sociedad,Becas de Intercambio,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-ABIERTA-CIENCIA-TECNOLOGIA-Y-SOCIEDAD,,,,No,,,,CONVOCATORIA ABIERTA CIENCIA TECNOLOGIA Y SOCIEDAD
PINTA BAPHOTO 20,Artistas,,https://es.artealdia.com/Convocatorias/PINTA-BAphoto-CONVOCA-A-GALERIAS-PARA-SU-EDICION-NUMERO-20,,,,No,,,,PINTA BAPHOTO CONVOCA A GALERIAS PARA SU EDICION NUMERO 20
PINTA MIAMI 2024,"Arte, Convocatoria, PINTA MIAMI 2024",,https://es.artealdia.com/Convocatorias/PINTA-MIAMI-2024-CONVOCATORIA-ABIERTA,,,,No,,,,PINTA MIAMI 2024 CONVOCATORIA ABIERTA
FUND AMA AMOEDO Y CASA WABI,Artistas,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-FUNDACION-AMA-AMOEDO-Y-CASA-WABI,,,,No,,,,CONVOCATORIA FUNDACION AMA AMOEDO Y CASA WABI
ICPNA ARTUS WIELS 2024,,,https://es.artealdia.com/Convocatorias/BECA-ICPNA-ARTUS-WIELS-CONVOCATORIA-2024-EN-PERU,,,,No,,,,BECA ICPNA ARTUS WIELS CONVOCATORIA 2024 EN PERU
4ta EDICIÓN ALA ART PRIZE,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-ABIERTA-CUARTA-EDICION-DEL-ALA-ART-PRIZE,,,,No,,,,CONVOCATORIA ABIERTA CUARTA EDICION DEL ALA ART PRIZE
Formación Arte Ciencia y Tecnología 2024,,,https://es.artealdia.com/Convocatorias/PRESENTE-CONTINUO-CONVOCATORIA-2024-DEL-PROGRAMA-DE-FORMACION-DE-ARTE-CIENCIA-Y-TECNOLOGIA,,,,No,,,,PRESENTE CONTINUO CONVOCATORIA 2024 DEL PROGRAMA DE FORMACION DE ARTE CIENCIA Y TECNOLOGIA
,,,https://es.artealdia.com/Convocatorias/EL-BROOKLYN-MUSEUM-ANUNCIA-UNA-CONVOCATORIA-ABIERTA-PARA-PARTICIPAR-EN-UNA-GRAN-EXPOSICION,,,,No,,,,EL BROOKLYN MUSEUM ANUNCIA UNA CONVOCATORIA ABIERTA PARA PARTICIPAR EN UNA GRAN EXPOSICION
Pastizal Llamado Final,,,https://es.artealdia.com/Convocatorias/RESIDENCIA-PASTIZAL-LLAMADO-FINAL-PARA-APLICAR,,,,No,,,,RESIDENCIA PASTIZAL LLAMADO FINAL PARA APLICAR
Convocatoria en Blanco de Espacio El Dorado,,,https://es.artealdia.com/Convocatorias/ULTIMOS-DIAS-CONVOCATORIA-EN-BLANCO-DE-ESPACIO-EL-DORADO,,,,No,,,,ULTIMOS DIAS CONVOCATORIA EN BLANCO DE ESPACIO EL DORADO
Fundación Alex Brown,,,https://es.artealdia.com/Convocatorias/PROGRAMA-DE-ARTISTAS-RESIDENTES-DE-LA-FUNDACION-ALEX-BROWN,,,,No,,,,PROGRAMA DE ARTISTAS RESIDENTES DE LA FUNDACION ALEX BROWN
Fundación SOM y MAK Center,,,https://es.artealdia.com/Convocatorias/PROGRAMA-DE-RESIDENCIA-PARA-INVESTIGADORES-DE-LA-FUNDACION-SOM-Y-EL-MAK-CENTER,,,,No,,,,PROGRAMA DE RESIDENCIA PARA INVESTIGADORES DE LA FUNDACION SOM Y EL MAK CENTER
AUTO ITALIA BUSCA DIRECTOR,,,https://es.artealdia.com/Convocatorias/AUTO-ITALIA-BUSCA-DIRECTOR,,,,No,,,,AUTO ITALIA BUSCA DIRECTOR
Convocatoria Director Bienal Berlin,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-ABIERTA-PARA-DIRECTOR-DE-LA-BIENAL-DE-BERLIN,,,,No,,,,CONVOCATORIA ABIERTA PARA DIRECTOR DE LA BIENAL DE BERLIN
MF Convocatoria Int. 2024,,,https://es.artealdia.com/Convocatorias/MATTRESS-FACTORY-ABRE-CONVOCATORIA-INTERNACIONAL-2024,,,,No,,,,MATTRESS FACTORY ABRE CONVOCATORIA INTERNACIONAL 2024
The New Centre,,,https://es.artealdia.com/Convocatorias/SOLICITUDES-DE-BECAS-DE-THE-NEW-CENTRE-FOR-RESEARCH-PRACTICE,,,,No,,,,SOLICITUDES DE BECAS DE THE NEW CENTRE FOR RESEARCH PRACTICE
Convocatoria de Investigación Curatorial,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-DE-BECAS-DE-INVESTIGACION-CURATORIAL,,,,No,,,,CONVOCATORIA DE BECAS DE INVESTIGACION CURATORIAL
10a EDICION DE CONCENTRICO,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-DE-PROPUESTAS-CONCURSOS-DE-LA-10a-EDICION-DE-CONCENTRICO,,,,No,,,,CONVOCATORIA DE PROPUESTAS CONCURSOS DE LA 10A EDICION DE CONCENTRICO
ART EXPLORA 2024,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-DE-CANDIDATURAS-ART-EXPLORA-PROGRAMA-DE-RESIDENCIA-2024,,,,No,,,,CONVOCATORIA DE CANDIDATURAS ART EXPLORA PROGRAMA DE RESIDENCIA 2024
,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-ABIERTA-EN-NUEVA-YORK-PARA-EXPOSICIONES-COLECTIVAS-EN-APEXART,,,,No,,,,CONVOCATORIA ABIERTA EN NUEVA YORK PARA EXPOSICIONES COLECTIVAS EN APEXART
,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-ABIERTA-SFER-IK-MUSEION-CONVOCA-UN-NUEVO-PREMIO-PARA-ARTISTAS,,,,No,,,,CONVOCATORIA ABIERTA SFER IK MUSEION CONVOCA UN NUEVO PREMIO PARA ARTISTAS
Convocatoria SpreePark Art Space Berlin,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-ABIERTA-DE-RESIDENCIA-ARTISTICA-EN-SPREEPARK-ART-SPACE-BERLIN,,,,No,,,,CONVOCATORIA ABIERTA DE RESIDENCIA ARTISTICA EN SPREEPARK ART SPACE BERLIN
ART OMI Convocatoria Arq.,,,https://es.artealdia.com/Convocatorias/ART-OMI-CONVOCATORIA-ABIERTA-DE-RESIDENCIA-DE-ARQUITECTURA,,,,No,,,,ART OMI CONVOCATORIA ABIERTA DE RESIDENCIA DE ARQUITECTURA
Convocatoria Curador Global Art Jameel,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-ABIERTA-DE-CURADOR-GLOBAL-EN-ART-JAMEEL,,,,No,,,,CONVOCATORIA ABIERTA DE CURADOR GLOBAL EN ART JAMEEL
Dir. Artístico C.C. Belem,,,https://es.artealdia.com/Convocatorias/CONVOCATORIA-PARA-DIRECTOR-ARTISTICO-EN-EL-CENTRO-CULTURAL-DE-BELEM,,,,No,,,,CONVOCATORIA PARA DIRECTOR ARTISTICO EN EL CENTRO CULTURAL DE BELEM
FRAME ART FINLANDIA,,,https://es.artealdia.com/Convocatorias/FRAME-CONTEMPORARY-ART-FINLANDIA-CONVOCATORIA-DE-BECAS-DE-INVESTIGACION-CURATORIAL,,,,No,,,,FRAME CONTEMPORARY ART FINLANDIA CONVOCATORIA DE BECAS DE INVESTIGACION CURATORIAL
Ibermúsicas 2024,Artistas,,https://www.recursosculturales.com/ibermusicas-convocatorias/,,,"September 15, 2024",Yes,,,,Ibermúsicas abrió sus convocatorias 2024 de ayudas al sector musical
IBERESCENA 2024/2025,Artistas,,https://www.recursosculturales.com/iberescena-abrio-convocatoria-ayudas/,,,"July 30, 2024",Yes,,,,El Programa IBERESCENA abrió su convocatoria de Ayudas 2024/2025
Guía Movilidad Cultura España 2024,Recursos,,https://www.recursosculturales.com/guia-movilidad-para-cultura/,,Destacar,,No,,,,Guía sobre movilidad internacional para cultura desde y en España 2024
Concurso de Arte en Venecia - Arte Laguna Prize 19,Artistas,,https://www.recursosculturales.com/premio-internacional-arte-laguna/,,,"July 31, 2024",Yes,,,,Concurso de Arte en Venecia – Arte Laguna Prize 19
Beca Fotografía Humanística W. Eugene Smith,Fotografía,,https://www.recursosculturales.com/convocatoria-beca-eugene-smith/,,,"October 8, 2024",Yes,,,,Beca anual en fotografía humanística del W. Eugene Smith Memorial Fund
Howard Chapnick Grant,Fotografía,,https://www.recursosculturales.com/the-howard-chapnick-grant/,,,"October 8, 2024",Yes,,,,"The Howard Chapnick Grant para proyectos de edición, investigación, educación y gestión en fotografía"
Sony World Photo 2025,Fotografía,,https://www.recursosculturales.com/sony-world-photography-awards-convocatoria/,,,"June 10, 2025",Yes,,,,Sony World Photography Awards abre su convocatoria 2025
Premio Bibl. Breve 2025,"Convocatoria, Novela inédita, Premio Internacional",,https://www.recursosculturales.com/premio-biblioteca-breve-novela/,,,"October 4, 2024",Yes,,,,El Premio Biblioteca Breve abre su convocatoria para novela inédita 2025
Premios Pilar Juncosa 2024,Educación Artística,,https://www.recursosculturales.com/premios-becas-pilar-juncosa/,,,"July 31, 2024",Yes,,,,"Premios y Becas Pilar Juncosa 2024 para edición, formación y proyectos de educación artística"
ITSLIQUID Supernatural,"Convocatoria, ITSLIQUID Supernatural, Recursos Culturales",,https://www.recursosculturales.com/itsliquid-supernatural/,,,"July 12, 2024",Yes,,,,ITSLIQUID anuncia la convocatoria abierta para SUPERNATURAL
Ibermúsicas: especialización y perfeccionamiento artístico y técnico,Educación Artística,,https://www.recursosculturales.com/ibermusicas-ayudas-especializacion-formacion/,,,"October 1, 2024",Yes,,,,Ibermúsicas: ayuda a la especialización y el perfeccionamiento artístico y técnico
Proyecto´ace,Residencia para artistas,,https://www.recursosculturales.com/proyecto-ace-residencias/,,,"July 31, 2024",Yes,,,,Programa de residencias artísticas Proyecto´ace
Ciclo de teatro Universo Bebés,Convocatoria,,https://www.recursosculturales.com/ciclo-de-teatro-universo-bebes-convoca-grupos-de-artes-escenicas/,,,"June 30, 2024",Yes,,,,Ciclo de teatro Universo Bebés convoca grupos de artes escénicas
III Premio Traducción Literaria Aquelarre,Traducción,,https://www.recursosculturales.com/premio-traduccion-literaria-aquelarre-ediciones/,,,"July 31, 2024",Yes,,,,III Premio Hispanoamericano de Traducción Literaria Aquelarre Ediciones
